"Month","Classification of Index of Producer Prices of Agricultural Products","Index of Producer Prices of Agricultural Products (2005=100)"
"2018M09","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",134.8
"2018M10","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",136.7
"2018M11","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",136.4
"2018M12","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",137.3
"2019M01","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",137.8
"2019M02","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",138.9
"2019M03","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",137.7
"2019M04","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",137.8
"2019M05","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",133.2
"2019M06","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",133.4
"2019M07","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",130.9
"2019M08","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",131.1
"2019M09","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",126.6
"2019M10","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",127.0
"2019M11","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",127.7
"2019M12","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",131.6
"2020M01","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",132.0
"2020M02","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",132.7
"2020M03","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",130.3
"2020M04","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",129.6
"2020M05","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",127.2
"2020M06","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",129.1
"2020M07","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",128.4
"2020M08","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",129.6
"2020M09","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",131.5
"2020M10","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",130.5
"2020M11","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",131.5
"2020M12","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",132.7
"2021M01","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",133.8
"2021M02","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",134.8
"2021M03","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",135.3
"2021M04","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",134.3
"2021M05","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",132.7
"2021M06","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",133.0
"2021M07","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",133.8
"2021M08","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",134.3
"2021M09","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",136.5
"2021M10","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",138.6
"2021M11","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",144.7
"2021M12","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",150.1
"2022M01","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",155.4
"2022M02","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",156.4
"2022M03","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",163.6
"2022M04","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",170.6
"2022M05","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",175.2
"2022M06","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",179.4
"2022M07","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",185.3
"2022M08","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",181.7
"2022M09","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",181.8
"2022M10","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",186.6
"2022M11","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",189.5
"2022M12","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",189.1
"2023M01*","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",190.2
"2023M02*","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",188.9
"2023M03*","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",188.4
"2023M04*","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",181.0
"2023M05*","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",175.5
"2023M06*","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",175.3
"2023M07*","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",176.0
"2023M08*","14000x AGRICULTURAL GOODS OUTPUT (100000+130000), including fruits (060000) and vegetables (040000), without fur skins",173.9
